radius,numberIntersections,intersectionArea,meanIntersectionDiameter
May31d-apical,240.000000,9.000000,4.148351,0.720070
May31d-apical,260.000000,5.000000,2.812631,0.827570
May31d-apical,280.000000,7.000000,2.207153,0.613076
May31d-apical,300.000000,8.000000,1.804880,0.503330
May31d-apical,320.000000,8.000000,4.270607,0.756564
May31d-apical,340.000000,10.000000,2.716620,0.531139
May31d-apical,360.000000,8.000000,2.127262,0.567691
May31d-apical,380.000000,8.000000,1.426976,0.450645
May31d-apical,400.000000,8.000000,1.700933,0.488363
May31d-apical,420.000000,2.000000,0.399808,0.496189
Jun7d-basal,20.000000,6.000000,8.534707,1.290556
Jun7d-basal,40.000000,17.000000,13.516278,0.852406
Jun7d-basal,60.000000,18.000000,9.345538,0.714513
Jun7d-basal,80.000000,19.000000,7.703152,0.680209
Jun7d-basal,100.000000,20.000000,11.195977,0.784499
Jun7d-basal,120.000000,21.000000,15.873364,0.839531
Jun7d-basal,140.000000,16.000000,5.652030,0.644854
Jun7d-basal,160.000000,16.000000,7.341303,0.715518
Jun7d-basal,180.000000,13.000000,4.274811,0.612758
Jun7d-basal,200.000000,12.000000,7.344644,0.796106
Jun7d-basal,220.000000,11.000000,3.008763,0.555329
Jun7d-basal,240.000000,8.000000,1.059880,0.396724
Jun7d-basal,260.000000,5.000000,0.821701,0.443775
Jun7d-basal,280.000000,1.000000,0.179122,0.477561
May31e-basal,20.000000,5.000000,16.092553,2.015877
May31e-basal,40.000000,12.000000,14.416621,1.148259
May31e-basal,60.000000,22.000000,15.323886,0.883366
May31e-basal,80.000000,26.000000,18.667943,0.887450
May31e-basal,100.000000,26.000000,16.980392,0.824164
May31e-basal,120.000000,25.000000,9.763114,0.683736
May31e-basal,140.000000,23.000000,9.086086,0.690341
May31e-basal,160.000000,20.000000,6.279427,0.622584
May31e-basal,180.000000,20.000000,8.271850,0.687583
May31e-basal,200.000000,18.000000,5.526074,0.596271
May31e-basal,220.000000,16.000000,3.586692,0.523588
May31e-basal,240.000000,12.000000,2.871847,0.528419
May31e-basal,260.000000,11.000000,2.419248,0.522039
May31e-basal,280.000000,6.000000,2.610573,0.676732
May31e-basal,300.000000,1.000000,0.190301,0.492239
Jun7d-apical,20.000000,1.000000,14.159993,4.246064
Jun7d-apical,40.000000,2.000000,10.381657,2.293339
Jun7d-apical,60.000000,5.000000,6.802201,1.123473
Jun7d-apical,80.000000,8.000000,5.578947,0.775503
Jun7d-apical,100.000000,11.000000,11.564319,0.996392
Jun7d-apical,120.000000,10.000000,8.393158,0.846531
Jun7d-apical,140.000000,10.000000,11.809311,1.067980
Jun7d-apical,160.000000,11.000000,21.574007,1.331181
Jun7d-apical,180.000000,13.000000,12.705693,0.984813
Jun7d-apical,200.000000,12.000000,13.227058,0.982754
Jun7d-apical,220.000000,13.000000,5.697537,0.670303
Jun7d-apical,240.000000,13.000000,8.717724,0.843761
Jun7d-apical,260.000000,10.000000,7.083953,0.801748
Jun7d-apical,280.000000,9.000000,3.929279,0.677662
Jun7d-apical,300.000000,9.000000,4.294880,0.691342
Jun7d-apical,320.000000,10.000000,5.179333,0.762791
Jun7d-apical,340.000000,11.000000,3.754803,0.614428
Jun7d-apical,360.000000,10.000000,4.237017,0.686466
Jun7d-apical,380.000000,8.000000,3.113457,0.622776
Jun7d-apical,400.000000,8.000000,1.800224,0.513172
Jun7d-apical,420.000000,8.000000,1.879353,0.529799
Jun7d-apical,440.000000,7.000000,1.701830,0.539547
Jun7d-apical,460.000000,9.000000,2.569291,0.551707
Jun7d-apical,480.000000,8.000000,1.844114,0.536495
Jun7d-apical,500.000000,8.000000,2.207990,0.575871
Jun7d-apical,520.000000,9.000000,1.965790,0.520360
Jun7d-apical,540.000000,8.000000,2.317837,0.576244
Jun7d-apical,560.000000,9.000000,2.144140,0.530374
Jun7d-apical,580.000000,8.000000,2.255406,0.550358
Jun7d-apical,600.000000,6.000000,1.961686,0.618289
Jun7d-apical,620.000000,4.000000,0.968181,0.551664
Jun7d-apical,640.000000,3.000000,0.766704,0.553267
Jun7d-apical,660.000000,3.000000,0.724109,0.542459
Jun7d-apical,680.000000,2.000000,0.562625,0.576796
Jun7d-apical,700.000000,1.000000,0.217589,0.526349
May3c-basal,20.000000,8.000000,18.333009,1.617929
May3c-basal,40.000000,18.000000,18.158279,1.073792
May3c-basal,60.000000,21.000000,23.450965,1.132977
May3c-basal,80.000000,20.000000,20.434929,1.100464
May3c-basal,100.000000,19.000000,17.135302,1.010161
May3c-basal,120.000000,19.000000,17.775326,1.006720
May3c-basal,140.000000,18.000000,14.303907,0.944285
May3c-basal,160.000000,18.000000,10.477885,0.835183
May3c-basal,180.000000,15.000000,8.221973,0.806577
May3c-basal,200.000000,14.000000,11.128428,0.954297
May3c-basal,220.000000,9.000000,7.980507,1.014652
May3c-basal,240.000000,4.000000,1.319639,0.589113
May3c-basal,260.000000,1.000000,0.716164,0.954908
May3c-apical,20.000000,1.000000,6.612266,2.901551
May3c-apical,40.000000,3.000000,6.385306,1.516062
May3c-apical,60.000000,4.000000,7.851449,1.517927
May3c-apical,80.000000,9.000000,11.583171,1.210493
May3c-apical,100.000000,9.000000,10.734038,1.157140
May3c-apical,120.000000,9.000000,11.375342,1.104689
May3c-apical,140.000000,11.000000,8.690317,0.922740
May3c-apical,160.000000,12.000000,9.047457,0.903232
May3c-apical,180.000000,11.000000,6.924166,0.816479
May3c-apical,200.000000,12.000000,8.131023,0.874995
May3c-apical,220.000000,10.000000,7.679505,0.906012
May3c-apical,240.000000,11.000000,6.784947,0.800242
May3c-apical,260.000000,8.000000,4.857481,0.797373
May3c-apical,280.000000,9.000000,4.176780,0.691418
May3c-apical,300.000000,7.000000,7.121840,0.980957
May3c-apical,320.000000,7.000000,4.578970,0.827617
May3c-apical,340.000000,6.000000,4.942559,0.902567
May3c-apical,360.000000,5.000000,4.137611,0.928284
May3c-apical,380.000000,5.000000,5.180956,1.094869
May3c-apical,400.000000,5.000000,4.166666,0.963603
May3c-apical,420.000000,5.000000,3.244833,0.881345
May3c-apical,440.000000,6.000000,3.827121,0.892806
May3c-apical,460.000000,6.000000,4.020950,0.884664
May3c-apical,480.000000,6.000000,3.193986,0.799826
May3c-apical,500.000000,6.000000,4.398370,0.923129
May3c-apical,520.000000,6.000000,3.782248,0.875073
May3c-apical,540.000000,7.000000,3.381349,0.770516
May3c-apical,560.000000,7.000000,4.711367,0.915445
May3c-apical,580.000000,9.000000,5.430479,0.832068
May3c-apical,600.000000,11.000000,9.732067,0.952782
May3c-apical,620.000000,11.000000,6.446225,0.811436
May3c-apical,640.000000,12.000000,7.778176,0.836983
May3c-apical,660.000000,12.000000,7.048794,0.840166
May3c-apical,680.000000,11.000000,5.953151,0.777038
May3c-apical,700.000000,9.000000,4.294250,0.748162
May3c-apical,720.000000,6.000000,1.820046,0.599404
May3c-apical,740.000000,2.000000,2.133484,1.039860
May3d-basal,20.000000,12.000000,13.499295,1.092979
May3d-basal,40.000000,22.000000,17.974373,0.991715
May3d-basal,60.000000,25.000000,28.808593,1.175729
May3d-basal,80.000000,25.000000,27.993400,1.149374
May3d-basal,100.000000,20.000000,20.508374,1.103623
May3d-basal,120.000000,16.000000,14.980819,0.967287
May3d-basal,140.000000,16.000000,10.804419,0.870598
May3d-basal,160.000000,15.000000,7.423547,0.759869
May3d-basal,180.000000,12.000000,7.085312,0.744489
May3d-basal,200.000000,6.000000,4.592431,0.854030
May31e-apical,20.000000,1.000000,7.617774,3.114362
May31e-apical,40.000000,2.000000,8.835692,2.011284
May31e-apical,60.000000,3.000000,7.220702,1.683951
May31e-apical,80.000000,8.000000,16.436469,1.514566
May31e-apical,100.000000,10.000000,10.203505,1.003117
May31e-apical,120.000000,12.000000,7.755921,0.856817
May31e-apical,140.000000,13.000000,9.765929,0.880999
May31e-apical,160.000000,13.000000,7.935822,0.758605
May31e-apical,180.000000,14.000000,9.556991,0.782750
May31e-apical,200.000000,16.000000,9.148081,0.726311
May31e-apical,220.000000,14.000000,7.140706,0.740344
May31e-apical,240.000000,16.000000,7.579243,0.652075
May31e-apical,260.000000,14.000000,7.759906,0.704619
May31e-apical,280.000000,13.000000,8.022315,0.712497
May31e-apical,300.000000,11.000000,6.377125,0.733166
May31e-apical,320.000000,6.000000,3.932696,0.804647
May31e-apical,340.000000,8.000000,4.302905,0.729744
May31e-apical,360.000000,9.000000,9.284757,1.027568
May31e-apical,380.000000,8.000000,5.838350,0.849232
May31e-apical,400.000000,7.000000,7.329655,1.037736
May31e-apical,420.000000,6.000000,4.420662,0.896994
May31e-apical,440.000000,7.000000,3.888922,0.781898
May31e-apical,460.000000,7.000000,2.876542,0.707946
May31e-apical,480.000000,6.000000,3.900047,0.828904
May31e-apical,500.000000,8.000000,3.295816,0.710029
May31e-apical,520.000000,8.000000,3.467896,0.706523
May31e-apical,540.000000,9.000000,3.002802,0.609194
May31e-apical,560.000000,8.000000,2.521008,0.618042
May31e-apical,580.000000,8.000000,2.133465,0.570530
May31e-apical,600.000000,8.000000,1.986416,0.557891
May31e-apical,620.000000,8.000000,1.965863,0.555467
