ID      SECTION-NUMBER  SECTION-LENGTH  BRANCH-ORDER    X       Y       Z       HEAD-DIAMETER   NECK-DIAMETER   MAX-DTS TYPE    AUTO    XYPLANE-ANGLE   SWC-NODE-ID     SWC-NODE-OFFSET ATTACH-X        ATTACH-Y        ATTACH-Z        SOMA-DISTANCE
72      36      25.704958       N/A     344.616913      153.317734      128.129089      0.418571        0.2     1.731884        mushroom        yes     78.779671       2085    0.005054        344.815063      153.122131      129.532654      246.926697
73      42      105.884048      N/A     354.048279      141.472763      136.361252      0.782732        N/A     1.768712        stubby  yes     65.658836       2360    0.007468        354.302185      140.939102      137.667633      265.182556
74      43      109.740509      N/A     352.333008      199.568726      134.983826      0.546122        N/A     1.805052        stubby  yes     -73.514679      2435    0.425166        352.850586      199.44516       133.185715      208.250061
75      43      109.740509      N/A     381.605316      190.861847      150.177658      0.470509        0.335935        1.690648        mushroom        yes     49.66226        2517    0.129211        381.749603      191.73671       151.221802      246.117432
76      7       113.390648      N/A     342.03183       172.59111       119.481598      0.550524        0.285704        1.669379        mushroom        yes     3.552049        376     0.605246        343.926788      172.504288      119.59935       220.386917
77      42      105.884048      N/A     355.461914      166.20433       133.144669      0.533196        N/A     1.757287        stubby  yes     62.727975       2339    0.604213        355.995239      166.674057      134.523254      238.062698
78      11      36.67181        N/A     338.999969      220.137604      111.5923        0.340352        0.02    1.777758        thin    yes     9.185507        592     0.83966 338.085327      218.119278      111.950623      176.418427
79      11      36.67181        N/A     332.249817      219.382614      112.817612      0.726378        0.02    1.626598        mushroom        yes     -43.06282       582     0.381562        332.537537      220.21608       111.993576      170.614838
80      43      109.740509      N/A     390.835449      184.81459       156.729965      0.745092        0.02    1.621183        mushroom        yes     -40.285768      2537    0.838684        391.750366      185.628677      155.691895      260.160217
81      12      149.54274       N/A     478.779816      174.93689       148.703415      0.286538        0.02    1.863589        thin    yes     -17.651085      944     0.639239        479.596985      176.542999      148.130005      345.663727
82      11      36.67181        N/A     341.273651      216.969162      109.373283      0.648612        N/A     1.730673        stubby  yes     82.269119       595     0       341.566986      216.899002      111.595001      180.609589
83      7       113.390648      N/A     335.545044      194.301224      119.787674      0.861908        0.654864        1.651485        mushroom        yes     -64.395115      343     0.578722        335.895142      193.562302      118.081451      196.04631
84      7       113.390648      N/A     344.872131      171.268997      118.137215      0.573201        0.02    1.679211        mushroom        yes     50.706555       376     0       343.862 171.876999      119.578003      220.905624
85      10      7.633924        N/A     322.619812      222.815262      111.122383      0.65472 0.397732        1.62878 mushroom        yes     33.233907       571     0.713845        322.946533      224.361298      112.157761      159.999512
86      9       17.553419       N/A     346.616821      122.231049      123.493546      0.527247        0.02    1.713041        mushroom        yes     16.255539       545     0       347.798187      122.244324      123.838028      276.428284
87      43      109.740509      N/A     376.462494      192.885132      146.724197      0.523737        0.02    1.728534        mushroom        yes     60.004314       2496    0.450487        376.488007      193.988998      148.636993      237.783768
88      23      39.485191       N/A     348.035889      186.638351      125.810287      0.555481        0.02    1.681927        mushroom        yes     12.710732       1684    0.260332        346.141205      185.461609      126.313362      211.537491
89      7       113.390648      N/A     338.291901      187.141891      118.659119      0.651214        0.02    1.711772        mushroom        yes     -0.280097       353     0       339.926239      187.860504      118.650391      203.506683
90      44      20.368887       N/A     244.667099      268.681885      83.937111       0.560349        0.02    1.687521        mushroom        yes     -6.690393       2620    0.333975        245.067139      270.025604      83.772652       81.736458
91      15      66.846718       N/A     420.158295      161.404907      137.345871      0.546903        0.42397 1.638294        mushroom        yes     0.01703 1129    0.909122        418.843811      160.508377      137.346344      290.949158
92      12      149.54274       N/A     484.487122      175.665924      148.342194      0.389221        0.02    1.767662        mushroom        yes     39.577308       956     0       483.496002      174.865997      149.395004      350.206665
93      7       113.390648      N/A     347.192291      127.824944      119.767403      0.606726        N/A     1.669005        stubby  yes     55.855083       449     0.23073 348.14212       128.172333      121.258659      268.099609
